t,block_x,block_y,block_z,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,wrist_x,wrist_y,wrist_z,rsp_des,rsr_des,rsy_des,rel_des,rsp_now,rsr_now,rsy_now,rel_now
0.0020,0.45000,-0.15000,1.05796,-0.00002,-0.00000,1.02996,1.00000,-0.00000,0.00001,0.00013,0.23400,-0.20950,1.12498,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000
0.0040,0.45000,-0.15000,1.05788,-0.00006,-0.00000,1.02988,1.00000,-0.00000,0.00002,0.00037,0.23400,-0.20949,1.12494,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0000,-0.0000,0.0000
0.0060,0.45000,-0.15000,1.05776,-0.00012,-0.00000,1.02977,1.00000,-0.00000,0.00003,0.00072,0.23399,-0.20948,1.12487,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0001,-0.0000,0.0000
0.0080,0.45000,-0.15000,1.05761,-0.00018,-0.00000,1.02961,1.00000,-0.00000,0.00004,0.00114,0.23398,-0.20946,1.12475,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0001,-0.0001,0.0000
0.0100,0.45000,-0.15000,1.05741,-0.00026,-0.00000,1.02942,1.00000,0.00001,0.00004,0.00167,0.23397,-0.20943,1.12460,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0001,-0.0001,0.0000
0.0120,0.45000,-0.15000,1.05718,-0.00035,-0.00001,1.02920,1.00000,0.00002,0.00005,0.00229,0.23396,-0.20939,1.12441,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0002,-0.0001,0.0000
0.0140,0.45000,-0.15000,1.05690,-0.00046,-0.00001,1.02896,1.00000,0.00002,0.00005,0.00296,0.23394,-0.20935,1.12420,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0002,-0.0002,0.0001
0.0160,0.45000,-0.15000,1.05668,-0.00057,-0.00001,1.02869,0.99999,0.00002,0.00005,0.00367,0.23392,-0.20930,1.12395,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0003,-0.0002,0.0001
0.0180,0.45000,-0.15000,1.05651,-0.00070,-0.00002,1.02838,0.99999,0.00003,0.00003,0.00443,0.23389,-0.20924,1.12367,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0004,-0.0003,0.0002
0.0200,0.45000,-0.15000,1.05638,-0.00083,-0.00002,1.02804,0.99999,0.00003,-0.00000,0.00521,0.23387,-0.20917,1.12336,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0004,-0.0003,0.0002
0.0220,0.45000,-0.15000,1.05628,-0.00095,-0.00002,1.02767,0.99998,0.00004,-0.00006,0.00601,0.23384,-0.20909,1.12302,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0005,-0.0004,0.0003
0.0240,0.45000,-0.15000,1.05620,-0.00108,-0.00002,1.02726,0.99998,0.00005,-0.00014,0.00682,0.23381,-0.20900,1.12266,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0006,-0.0004,0.0004
0.0260,0.45000,-0.15000,1.05615,-0.00121,-0.00002,1.02681,0.99997,0.00005,-0.00026,0.00762,0.23378,-0.20891,1.12226,-0.0000,0.0000,0.0000,0.0000,-0.0003,-0.0007,-0.0004,0.0005
0.0280,0.45000,-0.15000,1.05612,-0.00132,-0.00002,1.02634,0.99997,0.00007,-0.00041,0.00834,0.23376,-0.20881,1.12184,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0008,-0.0005,0.0006
0.0300,0.45000,-0.15000,1.05610,-0.00143,-0.00001,1.02587,0.99996,0.00009,-0.00060,0.00898,0.23373,-0.20870,1.12140,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0009,-0.0005,0.0007
0.0320,0.45000,-0.15000,1.05609,-0.00153,-0.00000,1.02539,0.99995,0.00010,-0.00083,0.00955,0.23370,-0.20859,1.12096,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0010,-0.0005,0.0010
0.0340,0.45000,-0.15000,1.05610,-0.00162,0.00001,1.02491,0.99995,0.00010,-0.00110,0.01020,0.23367,-0.20848,1.12052,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0011,-0.0006,0.0013
0.0360,0.45000,-0.15000,1.05611,-0.00171,0.00001,1.02441,0.99994,0.00009,-0.00143,0.01090,0.23363,-0.20836,1.12008,-0.0000,0.0000,0.0000,0.0000,0.0001,-0.0011,-0.0006,0.0016
0.0380,0.45000,-0.15000,1.05613,-0.00178,0.00002,1.02391,0.99993,0.00008,-0.00181,0.01166,0.23358,-0.20823,1.11964,-0.0000,0.0000,0.0000,0.0000,0.0003,-0.0012,-0.0006,0.0019
0.0400,0.45000,-0.15000,1.05615,-0.00184,0.00003,1.02339,0.99992,0.00007,-0.00225,0.01247,0.23354,-0.20809,1.11920,-0.0000,0.0000,0.0000,0.0000,0.0004,-0.0013,-0.0006,0.0023
0.0420,0.45000,-0.15000,1.05617,-0.00189,0.00004,1.02287,0.99991,0.00007,-0.00275,0.01332,0.23349,-0.20794,1.11877,-0.0000,0.0000,0.0000,0.0000,0.0007,-0.0014,-0.0006,0.0027
0.0440,0.45000,-0.15000,1.05620,-0.00194,0.00005,1.02233,0.99989,0.00005,-0.00329,0.01416,0.23344,-0.20779,1.11834,-0.0000,0.0000,0.0000,0.0000,0.0009,-0.0015,-0.0007,0.0030
0.0460,0.45000,-0.15000,1.05623,-0.00197,0.00005,1.02177,0.99988,-0.00000,-0.00387,0.01500,0.23340,-0.20762,1.11792,-0.0000,0.0000,0.0000,0.0000,0.0012,-0.0016,-0.0007,0.0034
0.0480,0.45000,-0.15000,1.05626,-0.00201,0.00004,1.02120,0.99986,-0.00009,-0.00450,0.01584,0.23334,-0.20745,1.11751,-0.0000,0.0000,0.0000,0.0000,0.0015,-0.0017,-0.0007,0.0038
0.0500,0.45000,-0.15000,1.05629,-0.00203,0.00002,1.02061,0.99985,-0.00020,-0.00517,0.01667,0.23329,-0.20728,1.11711,-0.0000,0.0000,0.0000,0.0000,0.0018,-0.0018,-0.0007,0.0042
0.0520,0.45000,-0.15000,1.05632,-0.00205,-0.00000,1.02000,0.99983,-0.00033,-0.00588,0.01751,0.23323,-0.20710,1.11672,-0.0000,0.0000,0.0000,0.0000,0.0021,-0.0019,-0.0007,0.0045
0.0540,0.45000,-0.15000,1.05635,-0.00206,-0.00003,1.01935,0.99981,-0.00047,-0.00663,0.01834,0.23318,-0.20691,1.11634,-0.0000,0.0000,0.0000,0.0000,0.0024,-0.0020,-0.0007,0.0048
0.0560,0.45000,-0.15000,1.05638,-0.00206,-0.00006,1.01869,0.99979,-0.00063,-0.00744,0.01918,0.23313,-0.20672,1.11596,-0.0000,0.0000,0.0000,0.0000,0.0028,-0.0020,-0.0007,0.0051
0.0580,0.45000,-0.15000,1.05640,-0.00206,-0.00010,1.01799,0.99977,-0.00081,-0.00829,0.02001,0.23308,-0.20651,1.11559,-0.0000,0.0000,0.0000,0.0000,0.0031,-0.0021,-0.0007,0.0054
0.0600,0.45000,-0.15000,1.05643,-0.00204,-0.00014,1.01728,0.99974,-0.00100,-0.00919,0.02085,0.23303,-0.20630,1.11523,-0.0000,0.0000,0.0000,0.0000,0.0035,-0.0021,-0.0007,0.0056
0.0620,0.45000,-0.15000,1.05646,-0.00201,-0.00018,1.01653,0.99971,-0.00120,-0.01013,0.02168,0.23299,-0.20609,1.11487,-0.0000,0.0000,0.0000,0.0000,0.0038,-0.0022,-0.0007,0.0058
0.0640,0.45000,-0.15000,1.05648,-0.00196,-0.00024,1.01578,0.99968,-0.00143,-0.01114,0.02247,0.23295,-0.20586,1.11453,-0.0000,0.0000,0.0000,0.0000,0.0042,-0.0022,-0.0007,0.0060
0.0660,0.45000,-0.15000,1.05650,-0.00189,-0.00029,1.01503,0.99965,-0.00168,-0.01221,0.02326,0.23291,-0.20563,1.11420,-0.0000,0.0000,0.0000,0.0000,0.0046,-0.0023,-0.0007,0.0062
0.0680,0.45000,-0.15000,1.05653,-0.00179,-0.00035,1.01427,0.99962,-0.00195,-0.01335,0.02407,0.23288,-0.20540,1.11390,-0.0000,0.0000,0.0000,0.0000,0.0051,-0.0023,-0.0008,0.0064
0.0700,0.45000,-0.15000,1.05655,-0.00167,-0.00043,1.01350,0.99958,-0.00226,-0.01456,0.02489,0.23285,-0.20516,1.11362,-0.0000,0.0000,0.0000,0.0000,0.0056,-0.0023,-0.0008,0.0067
0.0720,0.45000,-0.15000,1.05657,-0.00153,-0.00051,1.01271,0.99954,-0.00260,-0.01584,0.02579,0.23283,-0.20492,1.11337,-0.0000,0.0000,0.0000,0.0000,0.0061,-0.0023,-0.0008,0.0069
0.0740,0.45000,-0.15000,1.05659,-0.00137,-0.00059,1.01192,0.99949,-0.00295,-0.01716,0.02670,0.23282,-0.20466,1.11314,-0.0000,0.0000,0.0000,0.0000,0.0066,-0.0023,-0.0008,0.0071
0.0760,0.45000,-0.15000,1.05660,-0.00120,-0.00067,1.01112,0.99944,-0.00332,-0.01852,0.02762,0.23281,-0.20440,1.11293,-0.0000,0.0000,0.0000,0.0000,0.0071,-0.0023,-0.0008,0.0073
0.0780,0.45000,-0.15000,1.05662,-0.00102,-0.00076,1.01030,0.99939,-0.00370,-0.01993,0.02854,0.23281,-0.20414,1.11274,-0.0000,0.0000,0.0000,0.0000,0.0077,-0.0023,-0.0008,0.0075
0.0800,0.45000,-0.15000,1.05664,-0.00083,-0.00085,1.00948,0.99933,-0.00409,-0.02138,0.02947,0.23282,-0.20386,1.11257,-0.0000,0.0000,0.0000,0.0000,0.0082,-0.0023,-0.0008,0.0076
0.0820,0.45000,-0.15000,1.05665,-0.00063,-0.00094,1.00865,0.99927,-0.00450,-0.02287,0.03040,0.23283,-0.20358,1.11242,-0.0000,0.0000,0.0000,0.0000,0.0087,-0.0023,-0.0008,0.0078
0.0840,0.45000,-0.15000,1.05666,-0.00040,-0.00103,1.00780,0.99920,-0.00491,-0.02441,0.03131,0.23286,-0.20329,1.11228,-0.0000,0.0000,0.0000,0.0000,0.0092,-0.0023,-0.0008,0.0079
0.0860,0.45000,-0.15000,1.05668,-0.00016,-0.00113,1.00694,0.99913,-0.00535,-0.02601,0.03228,0.23290,-0.20299,1.11216,-0.0000,0.0000,0.0000,0.0000,0.0098,-0.0024,-0.0008,0.0080
0.0880,0.45000,-0.15000,1.05669,0.00011,-0.00123,1.00607,0.99905,-0.00581,-0.02766,0.03330,0.23294,-0.20268,1.11207,-0.0000,0.0000,0.0000,0.0000,0.0103,-0.0024,-0.0008,0.0081
0.0900,0.45000,-0.15000,1.05670,0.00039,-0.00133,1.00520,0.99896,-0.00630,-0.02937,0.03437,0.23300,-0.20236,1.11200,-0.0000,0.0000,0.0000,0.0000,0.0109,-0.0024,-0.0008,0.0082
0.0920,0.45000,-0.15000,1.05671,0.00070,-0.00144,1.00432,0.99886,-0.00680,-0.03112,0.03545,0.23308,-0.20203,1.11195,-0.0000,0.0000,0.0000,0.0000,0.0114,-0.0024,-0.0008,0.0082
0.0940,0.45000,-0.15000,1.05672,0.00101,-0.00154,1.00345,0.99876,-0.00730,-0.03290,0.03660,0.23316,-0.20169,1.11193,-0.0000,0.0000,0.0000,0.0000,0.0120,-0.0024,-0.0008,0.0083
0.0960,0.45000,-0.15000,1.05673,0.00133,-0.00164,1.00259,0.99865,-0.00782,-0.03471,0.03781,0.23325,-0.20134,1.11193,-0.0000,0.0000,0.0000,0.0000,0.0125,-0.0024,-0.0008,0.0084
0.0980,0.45000,-0.15000,1.05673,0.00166,-0.00175,1.00174,0.99853,-0.00834,-0.03655,0.03909,0.23336,-0.20097,1.11195,-0.0000,0.0000,0.0000,0.0000,0.0131,-0.0024,-0.0008,0.0084
0.1000,0.45000,-0.15000,1.05674,0.00199,-0.00185,1.00089,0.99841,-0.00887,-0.03842,0.04041,0.23347,-0.20059,1.11199,-0.0000,0.0000,0.0000,0.0000,0.0136,-0.0024,-0.0009,0.0085
0.1020,0.45000,-0.15000,1.05675,0.00234,-0.00195,1.00005,0.99827,-0.00941,-0.04031,0.04177,0.23360,-0.20019,1.11206,-0.0000,0.0000,0.0000,0.0000,0.0142,-0.0024,-0.0009,0.0086
0.1040,0.45000,-0.15000,1.05676,0.00270,-0.00206,0.99922,0.99812,-0.00995,-0.04223,0.04317,0.23374,-0.19979,1.11215,-0.0000,0.0000,0.0000,0.0000,0.0147,-0.0024,-0.0009,0.0086
0.1060,0.45000,-0.15000,1.05676,0.00306,-0.00217,0.99840,0.99797,-0.01051,-0.04418,0.04461,0.23389,-0.19936,1.11226,-0.0000,0.0000,0.0000,0.0000,0.0152,-0.0024,-0.0010,0.0086
0.1080,0.45000,-0.15000,1.05677,0.00343,-0.00228,0.99758,0.99781,-0.01108,-0.04615,0.04607,0.23406,-0.19892,1.11240,-0.0000,0.0000,0.0000,0.0000,0.0158,-0.0024,-0.0010,0.0087
0.1100,0.45000,-0.15000,1.05677,0.00381,-0.00240,0.99677,0.99764,-0.01166,-0.04811,0.04761,0.23424,-0.19847,1.11257,-0.0000,0.0000,0.0000,0.0000,0.0163,-0.0024,-0.0010,0.0087
0.1120,0.45000,-0.15000,1.05678,0.00418,-0.00252,0.99596,0.99746,-0.01225,-0.05008,0.04923,0.23443,-0.19800,1.11274,-0.0000,0.0000,0.0000,0.0000,0.0168,-0.0024,-0.0011,0.0087
0.1140,0.45000,-0.15000,1.05678,0.00455,-0.00264,0.99515,0.99726,-0.01285,-0.05205,0.05092,0.23463,-0.19752,1.11293,-0.0000,0.0000,0.0000,0.0000,0.0173,-0.0024,-0.0011,0.0087
0.1160,0.45000,-0.15000,1.05679,0.00493,-0.00276,0.99435,0.99706,-0.01346,-0.05402,0.05266,0.23486,-0.19701,1.11313,-0.0000,0.0000,0.0000,0.0000,0.0177,-0.0024,-0.0012,0.0087
0.1180,0.45000,-0.15000,1.05679,0.00531,-0.00289,0.99355,0.99685,-0.01408,-0.05599,0.05445,0.23509,-0.19649,1.11334,-0.0000,0.0000,0.0000,0.0000,0.0182,-0.0024,-0.0012,0.0087
0.1200,0.45000,-0.15000,1.05679,0.00569,-0.00301,0.99276,0.99662,-0.01470,-0.05796,0.05628,0.23535,-0.19595,1.11357,-0.0000,0.0000,0.0000,0.0000,0.0186,-0.0024,-0.0013,0.0087
0.1220,0.45000,-0.15000,1.05680,0.00607,-0.00314,0.99197,0.99639,-0.01534,-0.05994,0.05814,0.23562,-0.19539,1.11381,-0.0000,0.0000,0.0000,0.0000,0.0190,-0.0024,-0.0013,0.0086
0.1240,0.45000,-0.15000,1.05680,0.00645,-0.00328,0.99119,0.99615,-0.01598,-0.06191,0.06003,0.23590,-0.19481,1.11406,-0.0000,0.0000,0.0000,0.0000,0.0194,-0.0024,-0.0014,0.0086
0.1260,0.45000,-0.15000,1.05680,0.00683,-0.00341,0.99041,0.99590,-0.01663,-0.06388,0.06193,0.23621,-0.19421,1.11432,-0.0000,0.0000,0.0000,0.0000,0.0198,-0.0024,-0.0014,0.0085
0.1280,0.45000,-0.15000,1.05681,0.00721,-0.00356,0.98961,0.99563,-0.01730,-0.06582,0.06389,0.23653,-0.19360,1.11460,-0.0000,0.0000,0.0000,0.0000,0.0201,-0.0024,-0.0015,0.0085
0.1300,0.45000,-0.15000,1.05681,0.00758,-0.00370,0.98881,0.99536,-0.01798,-0.06774,0.06586,0.23686,-0.19296,1.11488,-0.0000,0.0000,0.0000,0.0000,0.0205,-0.0024,-0.0015,0.0084
0.1320,0.45000,-0.15000,1.05681,0.00795,-0.00385,0.98801,0.99509,-0.01866,-0.06964,0.06784,0.23722,-0.19230,1.11515,-0.0000,0.0000,0.0000,0.0000,0.0207,-0.0024,-0.0016,0.0082
0.1340,0.45000,-0.15000,1.05681,0.00832,-0.00399,0.98719,0.99481,-0.01933,-0.07151,0.06980,0.23759,-0.19162,1.11543,-0.0000,0.0000,0.0000,0.0000,0.0209,-0.0024,-0.0016,0.0081
0.1360,0.45000,-0.15000,1.05681,0.00867,-0.00414,0.98638,0.99452,-0.02000,-0.07336,0.07176,0.23799,-0.19093,1.11570,-0.0000,0.0000,0.0000,0.0000,0.0211,-0.0024,-0.0017,0.0079
0.1380,0.45000,-0.15000,1.05682,0.00902,-0.00429,0.98556,0.99423,-0.02069,-0.07518,0.07373,0.23840,-0.19021,1.11598,-0.0000,0.0000,0.0000,0.0000,0.0213,-0.0024,-0.0017,0.0078
0.1400,0.45000,-0.15000,1.05682,0.00937,-0.00445,0.98474,0.99392,-0.02140,-0.07697,0.07573,0.23882,-0.18947,1.11625,-0.0000,0.0000,0.0000,0.0000,0.0214,-0.0024,-0.0018,0.0076
0.1420,0.45000,-0.15000,1.05682,0.00971,-0.00462,0.98392,0.99361,-0.02212,-0.07874,0.07772,0.23926,-0.18871,1.11653,-0.0000,0.0000,0.0000,0.0000,0.0215,-0.0024,-0.0018,0.0074
0.1440,0.45000,-0.15000,1.05682,0.01004,-0.00479,0.98310,0.99330,-0.02284,-0.08048,0.07971,0.23972,-0.18794,1.11680,-0.0000,0.0000,0.0000,0.0000,0.0215,-0.0024,-0.0018,0.0073
0.1460,0.45000,-0.15000,1.05682,0.01036,-0.00496,0.98228,0.99299,-0.02356,-0.08218,0.08167,0.24019,-0.18714,1.11708,-0.0000,0.0000,0.0000,0.0000,0.0215,-0.0024,-0.0018,0.0071
0.1480,0.45000,-0.15000,1.05682,0.01066,-0.00513,0.98145,0.99267,-0.02426,-0.08384,0.08361,0.24067,-0.18633,1.11735,-0.0000,0.0000,0.0000,0.0000,0.0214,-0.0024,-0.0018,0.0070
0.1500,0.45000,-0.15000,1.05683,0.01096,-0.00530,0.98062,0.99235,-0.02497,-0.08545,0.08553,0.24117,-0.18550,1.11761,-0.0000,0.0000,0.0000,0.0000,0.0213,-0.0025,-0.0018,0.0068
0.1520,0.45000,-0.15000,1.05683,0.01124,-0.00547,0.97978,0.99203,-0.02566,-0.08702,0.08742,0.24167,-0.18465,1.11786,-0.0000,0.0000,0.0000,0.0000,0.0212,-0.0025,-0.0019,0.0066
0.1540,0.45000,-0.15000,1.05683,0.01151,-0.00564,0.97894,0.99171,-0.02635,-0.08856,0.08929,0.24220,-0.18378,1.11810,-0.0000,0.0000,0.0000,0.0000,0.0210,-0.0025,-0.0019,0.0064
0.1560,0.45000,-0.15000,1.05683,0.01178,-0.00582,0.97810,0.99139,-0.02703,-0.09007,0.09113,0.24273,-0.18289,1.11833,-0.0000,0.0000,0.0000,0.0000,0.0207,-0.0025,-0.0019,0.0063
0.1580,0.45000,-0.15000,1.05683,0.01203,-0.00599,0.97725,0.99107,-0.02770,-0.09153,0.09294,0.24327,-0.18199,1.11855,-0.0000,0.0000,0.0000,0.0000,0.0204,-0.0024,-0.0019,0.0061
0.1600,0.45000,-0.15000,1.05683,0.01228,-0.00616,0.97640,0.99075,-0.02837,-0.09297,0.09473,0.24383,-0.18108,1.11876,-0.0000,0.0000,0.0000,0.0000,0.0201,-0.0024,-0.0019,0.0059
0.1620,0.45000,-0.15000,1.05683,0.01252,-0.00633,0.97555,0.99043,-0.02903,-0.09437,0.09648,0.24439,-0.18015,1.11896,-0.0000,0.0000,0.0000,0.0000,0.0198,-0.0024,-0.0019,0.0058
0.1640,0.45000,-0.15000,1.05683,0.01275,-0.00650,0.97470,0.99010,-0.02968,-0.09575,0.09821,0.24497,-0.17920,1.11915,-0.0000,0.0000,0.0000,0.0000,0.0194,-0.0024,-0.0019,0.0056
0.1660,0.45000,-0.15000,1.05683,0.01299,-0.00667,0.97383,0.98979,-0.03031,-0.09710,0.09988,0.24555,-0.17825,1.11934,-0.0000,0.0000,0.0000,0.0000,0.0189,-0.0024,-0.0019,0.0055
0.1680,0.45000,-0.15000,1.05683,0.01322,-0.00684,0.97296,0.98946,-0.03095,-0.09843,0.10156,0.24614,-0.17727,1.11950,-0.0000,0.0000,0.0000,0.0000,0.0185,-0.0024,-0.0019,0.0054
0.1700,0.45000,-0.15000,1.05683,0.01345,-0.00703,0.97207,0.98914,-0.03161,-0.09972,0.10325,0.24674,-0.17629,1.11966,-0.0000,0.0000,0.0000,0.0000,0.0180,-0.0024,-0.0019,0.0052
0.1720,0.45000,-0.15000,1.05683,0.01366,-0.00721,0.97117,0.98882,-0.03225,-0.10097,0.10491,0.24735,-0.17529,1.11979,-0.0000,0.0000,0.0000,0.0000,0.0175,-0.0023,-0.0018,0.0051
0.1740,0.45000,-0.15000,1.05684,0.01386,-0.00739,0.97028,0.98850,-0.03288,-0.10217,0.10656,0.24796,-0.17428,1.11991,-0.0000,0.0000,0.0000,0.0000,0.0170,-0.0023,-0.0018,0.0049
0.1760,0.45000,-0.15000,1.05684,0.01405,-0.00757,0.96937,0.98818,-0.03349,-0.10334,0.10817,0.24858,-0.17326,1.12001,-0.0000,0.0000,0.0000,0.0000,0.0164,-0.0023,-0.0018,0.0048
0.1780,0.45000,-0.15000,1.05684,0.01422,-0.00774,0.96845,0.98787,-0.03408,-0.10446,0.10975,0.24920,-0.17222,1.12009,-0.0000,0.0000,0.0000,0.0000,0.0158,-0.0022,-0.0018,0.0046
0.1800,0.45000,-0.15000,1.05684,0.01439,-0.00792,0.96752,0.98755,-0.03467,-0.10556,0.11132,0.24982,-0.17118,1.12015,-0.0000,0.0000,0.0000,0.0000,0.0152,-0.0022,-0.0018,0.0045
0.1820,0.45000,-0.15000,1.05684,0.01455,-0.00811,0.96657,0.98724,-0.03526,-0.10663,0.11289,0.25044,-0.17012,1.12018,-0.0000,0.0000,0.0000,0.0000,0.0145,-0.0021,-0.0018,0.0043
0.1840,0.45000,-0.15000,1.05684,0.01471,-0.00829,0.96561,0.98693,-0.03581,-0.10768,0.11440,0.25107,-0.16905,1.12019,-0.0000,0.0000,0.0000,0.0000,0.0138,-0.0021,-0.0018,0.0042
0.1860,0.45000,-0.15000,1.05684,0.01486,-0.00846,0.96464,0.98663,-0.03634,-0.10870,0.11587,0.25170,-0.16798,1.12018,-0.0000,0.0000,0.0000,0.0000,0.0131,-0.0020,-0.0018,0.0041
0.1880,0.45000,-0.15000,1.05684,0.01500,-0.00864,0.96368,0.98633,-0.03685,-0.10969,0.11731,0.25233,-0.16689,1.12015,-0.0000,0.0000,0.0000,0.0000,0.0124,-0.0019,-0.0017,0.0039
0.1900,0.45000,-0.15000,1.05684,0.01514,-0.00882,0.96270,0.98603,-0.03737,-0.11067,0.11876,0.25295,-0.16580,1.12009,-0.0000,0.0000,0.0000,0.0000,0.0117,-0.0018,-0.0017,0.0038
0.1920,0.45000,-0.15000,1.05684,0.01528,-0.00901,0.96171,0.98572,-0.03790,-0.11162,0.12023,0.25357,-0.16469,1.12002,-0.0000,0.0000,0.0000,0.0000,0.0110,-0.0017,-0.0017,0.0037
0.1940,0.45000,-0.15000,1.05684,0.01542,-0.00920,0.96070,0.98542,-0.03843,-0.11256,0.12170,0.25419,-0.16359,1.11991,-0.0000,0.0000,0.0000,0.0000,0.0103,-0.0016,-0.0016,0.0036
0.1960,0.45000,-0.15000,1.05684,0.01555,-0.00939,0.95969,0.98511,-0.03893,-0.11348,0.12312,0.25480,-0.16247,1.11979,-0.0000,0.0000,0.0000,0.0000,0.0096,-0.0015,-0.0016,0.0035
0.1980,0.45000,-0.15000,1.05684,0.01568,-0.00957,0.95868,0.98482,-0.03940,-0.11438,0.12450,0.25541,-0.16135,1.11964,-0.0000,0.0000,0.0000,0.0000,0.0090,-0.0014,-0.0015,0.0035
0.2000,0.45000,-0.15000,1.05684,0.01581,-0.00974,0.95767,0.98452,-0.03985,-0.11527,0.12585,0.25601,-0.16023,1.11947,-0.0000,0.0000,0.0000,0.0000,0.0083,-0.0013,-0.0015,0.0034
0.2020,0.45000,-0.15000,1.05684,0.01593,-0.00991,0.95665,0.98423,-0.04027,-0.11615,0.12717,0.25661,-0.15910,1.11928,-0.0000,0.0000,0.0000,0.0000,0.0076,-0.0012,-0.0014,0.0033
0.2040,0.45000,-0.15000,1.05684,0.01606,-0.01008,0.95562,0.98394,-0.04070,-0.11702,0.12848,0.25719,-0.15796,1.11906,-0.0000,0.0000,0.0000,0.0000,0.0070,-0.0011,-0.0013,0.0033
0.2060,0.45000,-0.15000,1.05684,0.01618,-0.01026,0.95458,0.98365,-0.04114,-0.11787,0.12978,0.25777,-0.15683,1.11882,-0.0000,0.0000,0.0000,0.0000,0.0064,-0.0010,-0.0013,0.0033
0.2080,0.45000,-0.15000,1.05684,0.01632,-0.01045,0.95354,0.98336,-0.04157,-0.11873,0.13108,0.25834,-0.15569,1.11856,-0.0000,0.0000,0.0000,0.0000,0.0058,-0.0009,-0.0012,0.0032
0.2100,0.45000,-0.15000,1.05684,0.01644,-0.01062,0.95250,0.98307,-0.04198,-0.11957,0.13234,0.25889,-0.15456,1.11828,-0.0000,0.0000,0.0000,0.0000,0.0052,-0.0007,-0.0011,0.0032
0.2120,0.45000,-0.15000,1.05684,0.01657,-0.01079,0.95147,0.98279,-0.04237,-0.12040,0.13356,0.25943,-0.15342,1.11798,-0.0000,0.0000,0.0000,0.0000,0.0047,-0.0006,-0.0010,0.0032
0.2140,0.45000,-0.15000,1.05684,0.01669,-0.01095,0.95044,0.98251,-0.04273,-0.12122,0.13473,0.25996,-0.15229,1.11766,-0.0000,0.0000,0.0000,0.0000,0.0042,-0.0005,-0.0009,0.0032
0.2160,0.45000,-0.15000,1.05684,0.01681,-0.01110,0.94942,0.98224,-0.04307,-0.12204,0.13587,0.26048,-0.15116,1.11733,-0.0000,0.0000,0.0000,0.0000,0.0037,-0.0003,-0.0008,0.0032
0.2180,0.45000,-0.15000,1.05684,0.01693,-0.01125,0.94839,0.98197,-0.04339,-0.12284,0.13697,0.26097,-0.15003,1.11698,-0.0000,0.0000,0.0000,0.0000,0.0033,-0.0002,-0.0007,0.0032
0.2200,0.45000,-0.15000,1.05684,0.01703,-0.01139,0.94737,0.98173,-0.04368,-0.12362,0.13793,0.26146,-0.14891,1.11660,-0.0000,0.0000,0.0000,0.0000,0.0028,-0.0000,-0.0006,0.0032
0.2220,0.45000,-0.15000,1.05684,0.01714,-0.01154,0.94634,0.98149,-0.04395,-0.12440,0.13878,0.26193,-0.14779,1.11621,-0.0000,0.0000,0.0000,0.0000,0.0024,0.0001,-0.0005,0.0032
0.2240,0.45000,-0.15000,1.05684,0.01725,-0.01168,0.94532,0.98128,-0.04420,-0.12517,0.13953,0.26238,-0.14668,1.11581,-0.0000,0.0000,0.0000,0.0000,0.0020,0.0003,-0.0004,0.0033
0.2260,0.45000,-0.15000,1.05684,0.01735,-0.01181,0.94430,0.98108,-0.04441,-0.12594,0.14017,0.26281,-0.14559,1.11538,-0.0000,0.0000,0.0000,0.0000,0.0016,0.0005,-0.0003,0.0033
0.2280,0.45000,-0.15000,1.05684,0.01746,-0.01195,0.94327,0.98089,-0.04462,-0.12670,0.14074,0.26323,-0.14450,1.11495,-0.0000,0.0000,0.0000,0.0000,0.0012,0.0007,-0.0001,0.0033
0.2300,0.45000,-0.15000,1.05684,0.01756,-0.01209,0.94226,0.98071,-0.04480,-0.12746,0.14124,0.26363,-0.14343,1.11450,-0.0000,0.0000,0.0000,0.0000,0.0008,0.0010,0.0000,0.0034
0.2320,0.45000,-0.15000,1.05684,0.01766,-0.01222,0.94125,0.98054,-0.04497,-0.12821,0.14167,0.26401,-0.14238,1.11404,-0.0000,0.0000,0.0000,0.0000,0.0005,0.0012,0.0002,0.0035
0.2340,0.45000,-0.15000,1.05684,0.01776,-0.01235,0.94025,0.98039,-0.04511,-0.12895,0.14205,0.26437,-0.14133,1.11356,-0.0000,0.0000,0.0000,0.0000,0.0001,0.0015,0.0003,0.0035
